ArtifactID,Categoria
.com.daikit:spring-boot-starter-data-graphql,Diversos
.com.daikit:spring-boot-starter-data-graphql-jpa,Diversos
.org.slf4j:slf4j-api,Desenvolvimento de Software
Aftermath:aftermath-annotations,Desenvolvimento de Software
Android-BLE-Library:ble,Desenvolvimento de Software
Android-Iconics:iconics,Desenvolvimento de Software
Android-Iconics:iconics-core,Desenvolvimento de Software
Android-Iconics:library,Desenvolvimento de Software
Android-Iconics:library-core,Desenvolvimento de Software
Android-ParseModel:parsemodel,Diversos
Android-RTEditor:android-rteditor-core,Diversos
Android-SDK-Core-Source:coresdk,Desenvolvimento de Software
AndroidPerformanceMonitor:blockcanary-analyzer,Desenvolvimento de Software
App-Architecture:app-architecture-framework,Desenvolvimento Frontend
ArcSoftTool:face-engine,Desenvolvimento de Software
ArcSoftTool:libuvccamera-release,Desenvolvimento de Software
ArcSoftTool:usbCameraCommon-release,Desenvolvimento de Software
ArcSoftTool:websocket-face-store,Desenvolvimento de Software
BigWig:BigWig,Gerenciamento de Dados
ButcherKnife:butcherknife-annotation,Desenvolvimento de Software
COM.ibm.db2:db2jcc4,Desenvolvimento de Software
CachedField:testhelpers,Gerenciamento de Dados
CleanRecyclerView:crv-annotation,Desenvolvimento de Software
CleanRecyclerView:presenteradapter,Desenvolvimento de Software
CocoQuery:query,Diversos
ColorPicker:colorpicker,Desenvolvimento de Software
Coordinator-java:coordinator-common,Diversos
DailyAndroidNativeLib:dailyapplib,Desenvolvimento de Software
DailyAndroidNativeLib:dailycorelib,Desenvolvimento de Software
Debug:debug,Desenvolvimento de Software
Debug:debug-annotations,Desenvolvimento de Software
DebugOverlay-Android:debugoverlay,Desenvolvimento de Software
DeepLinkDispatch:deeplinkdispatch-base,Desenvolvimento de Software
ESAPI:ESAPI,Desenvolvimento de Software
EnvDTE80:EnvDTE80,Desenvolvimento de Software
EnvDTE:EnvDTE,Desenvolvimento de Software
FIRSTAPI_CONNECT_PAY_ANDROID_WORK18:paywithmybank-android-sdk-release,Aplicações Empresariais
FastAdapter:fastadapter,Desenvolvimento de Software
FastAdapter:library,Desenvolvimento de Software
FastAdapter:library-core,Desenvolvimento de Software
GGAForms:ggaforms,Desenvolvimento de Software
Handle:annotations,Desenvolvimento de Software
HermiT:org.semanticweb.HermiT,Desenvolvimento de Software
HsaTools:HsaTools-Mocks,Desenvolvimento de Software
Hyrule:Hyrule,Utilitários e Ferramentas
JLex:JLex,Gerenciamento de Dados
JSAP:JSAP,Diversos
Junit:Junit,Desenvolvimento de Software
KSCOneLoginSDK_CY:library,Gerenciamento de Dados
Kotlin-Realm-Extensions:krealmextensions,Desenvolvimento de Software
Kotlin-Realm-Extensions:library,Desenvolvimento de Software
KushkiDemo:libs,Desenvolvimento de Software
Marafeti:base,Diversos
MoEngage-Android-SDK:test-helper,Desenvolvimento de Software
Moxy-publish-maven:moxy-compiler,Diversos
MrPowers:spark-fast-tests,Gerenciamento de Dados
Mutters:mutters-fasttext-test-data,Diversos
Mutters:mutters-opennlp-taxi-data,Diversos
Mutters:mutters-opennlp-test-data,Diversos
MvRx:mvrx,Desenvolvimento de Software
NUnit:NUnit.Framework,Desenvolvimento de Software
NextInputs-Android:inputs,Desenvolvimento de Software
NullAway.jar-infer:test-android-lib-jarinfer,Desenvolvimento de Software
NullAway.jar-infer:test-java-lib-jarinfer,Desenvolvimento de Software
NullAway.library-model:library-model-generator,Desenvolvimento de Software
NullAway:test-java-lib,Desenvolvimento de Software
NullAway:test-library-models,Desenvolvimento de Software
OKI:OkiOSID,Desenvolvimento Frontend
OKI:OkiSID,Desenvolvimento Frontend
OWASP:ESAPI,Segurança e Gestão
PDFRenderer:PDFRenderer,Desenvolvimento de Software
Pingplusplus:pingpp-java,Desenvolvimento de Software
PrettyBundle:prettybundle,Desenvolvimento de Software
RapidORM:library-api,Desenvolvimento de Software
RapidRouter:library-api,Desenvolvimento de Software
ReactiveSprint:rsjava,Desenvolvimento de Software
RoboSpock:antApp,Desenvolvimento de Software
SimplePrefs:annotations,Desenvolvimento de Software
SimulationCoreLibrary:SimulationCoreLibrary,Desenvolvimento de Software
SnakeYAML:SnakeYAML,Desenvolvimento de Software
TSCore:GeneralUtility,Desenvolvimento de Software
