ArtifactID,Category
.com.daikit:spring-boot-starter-data-graphql,Others
.com.daikit:spring-boot-starter-data-graphql-jpa,Others
.org.slf4j:slf4j-api,Software Quality
Aftermath:aftermath-annotations,Software Construction
Android-BLE-Library:ble,Software Construction
Android-Iconics:iconics,Others
Android-Iconics:iconics-core,Others
Android-Iconics:library,Others
Android-Iconics:library-core,Others
Android-ParseModel:parsemodel,Others
Android-RTEditor:android-rteditor-core,Others
Android-SDK-Core-Source:coresdk,Software Construction
AndroidPerformanceMonitor:blockcanary-analyzer,Software Construction
App-Architecture:app-architecture-framework,Software Construction
ArcSoftTool:face-engine,Others
ArcSoftTool:libuvccamera-release,Others
ArcSoftTool:usbCameraCommon-release,Others
ArcSoftTool:websocket-face-store,Others
BigWig:BigWig,Computing Foundations
ButcherKnife:butcherknife-annotation,Others
COM.ibm.db2:db2jcc4,Others
CachedField:testhelpers,Software Construction
CleanRecyclerView:crv-annotation,Others
CleanRecyclerView:presenteradapter,Others
CocoQuery:query,Others
ColorPicker:colorpicker,Software Construction
Coordinator-java:coordinator-common,Others
DailyAndroidNativeLib:dailyapplib,Others
DailyAndroidNativeLib:dailycorelib,Others
Debug:debug,Others
Debug:debug-annotations,Others
DebugOverlay-Android:debugoverlay,Software Construction
DeepLinkDispatch:deeplinkdispatch-base,Software Construction
ESAPI:ESAPI,Software Construction
EnvDTE80:EnvDTE80,Software Construction
EnvDTE:EnvDTE,Software Construction
FIRSTAPI_CONNECT_PAY_ANDROID_WORK18:paywithmybank-android-sdk-release,Software Engineering Economics
FastAdapter:fastadapter,Others
FastAdapter:library,Others
FastAdapter:library-core,Others
GGAForms:ggaforms,Software Construction
Handle:annotations,Software Construction
HermiT:org.semanticweb.HermiT,Software Construction
HsaTools:HsaTools-Mocks,Others
Hyrule:Hyrule,Software Quality
JDOM:JDOM,Computing Foundations
JLex:JLex,Computing Foundations
JSAP:JSAP,Others
JavaMail:JavaMail,Computing Foundations
Junit:Junit,Others
KSCOneLoginSDK_CY:library,Computing Foundations
Kotlin-Realm-Extensions:krealmextensions,Others
Kotlin-Realm-Extensions:library,Others
KushkiDemo:libs,Software Construction
Marafeti:base,Others
MoEngage-Android-SDK:test-helper,Others
Moxy-publish-maven:moxy-compiler,Others
MrPowers:spark-fast-tests,Software Quality
Mutters:mutters-fasttext-test-data,Others
Mutters:mutters-opennlp-taxi-data,Others
Mutters:mutters-opennlp-test-data,Others
MvRx:mvrx,Software Construction
NUnit:NUnit.Framework,Software Construction
NextInputs-Android:inputs,Others
NullAway.jar-infer:test-android-lib-jarinfer,Software Configuration Management
NullAway.jar-infer:test-java-lib-jarinfer,Software Configuration Management
NullAway.library-model:library-model-generator,Software Configuration Management
NullAway:test-java-lib,Software Configuration Management
NullAway:test-library-models,Software Configuration Management
OKI:OkiOSID,Software Design
OKI:OkiSID,Software Design
OWASP:ESAPI,Software Security
PDFRenderer:PDFRenderer,Software Construction
Pingplusplus:pingpp-java,Others
PrettyBundle:prettybundle,Software Construction
RapidORM:library-api,Others
RapidRouter:library-api,Others
ReactiveSprint:rsjava,Software Construction
RoboSpock:antApp,Software Quality
SimplePrefs:annotations,Software Configuration Management
SimulationCoreLibrary:SimulationCoreLibrary,Others
SnakeYAML:SnakeYAML,Software Construction
TSCore:GeneralUtility,Others
TSCore:Log,Others
TSCore:Regex,Others
TencentMapSdk:sdk-tools-json,Others
UniversalUpgrade:uupgrade-annotation,Others
__commons-io:commons-io,Others
__commons-io:commons-io-deflected,Others
__java:rt,Others
__org.antlr:antlr4,Others
__org.antlr:antlr4-deflected,Others
abbot:abbot.swt,Software Construction
abbot:abbot.swt.eclipse,Software Construction
achartengine:achartengine,Software Construction
acs:ACSErrTypeCommon,Software Construction
acs:acserrj,Software Construction
acs:acsjlog,Software Construction
acs:jACSUtil,Software Construction
acs:lc,Software Construction
acs:lcEngine,Software Construction
activemq:activemq-core-test,Computing Foundations
activescript:jguid,Software Construction
adaptx:adaptx,Software Configuration Management
add-ons:maps,Software Construction
admob:admob,Software Construction
ads:AdQuality,Software Construction
advancedflex:debugger,Software Construction
aerospike-java-plugins:aerospike-transcoder,Computing Foundations
ai.catboost:catboost-prediction,Computing Foundations
ai.djl.huggingface:tokenizers,Computing Foundations
ai.djl.mxnet:mxnet-engine,Software Construction
ai.djl.mxnet:mxnet-model-zoo,Software Construction
ai.djl.mxnet:mxnet-native-auto,Software Construction
ai.djl.pytorch:pytorch-engine,Computing Foundations
ai.djl.pytorch:pytorch-native-auto,Computing Foundations
ai.djl.tensorflow:tensorflow-native-auto,Software Construction
ai.djl.timeseries:timeseries,Software Construction
ai.djl:api,Computing Foundations
ai.djl:model-zoo,Computing Foundations
ai.h2o.mli:h2o-genmodel-ext-klime,Computing Foundations
ai.h2o:javassist,Computing Foundations
ai.h2o:mojo2-cli,Computing Foundations
ai.h2o:mojo2-combined,Computing Foundations
ai.h2o:mojo2-custom-op-yeo-johnson,Computing Foundations
ai.h2o:mojo2-runtime-ext-tensorflow,Computing Foundations
ai.h2o:sparkling-water-api-generation,Computing Foundations
ai.h2o:sparkling-water-assembly,Computing Foundations
ai.h2o:sparkling-water-extension-stack-trace,Computing Foundations
ai.h2o:sparkling-water-repl,Computing Foundations
ai.kien:python-native-libs_2.12,Software Construction
ai.kien:python-native-libs_2.13,Software Construction
ai.lum:labrador-core_2.12,Computing Foundations
akinaru:http-endec,Software Quality
alda:alda,Software Domain
alien4cloud:alien4cloud-core,Others
aliyun-log-android-sdk:aliyun_sls_android_adapter,Software Engineering Operations
aliyun-log-android-sdk:aliyun_sls_android_common,Software Engineering Operations
aliyun-log-android-sdk:aliyun_sls_android_producer,Software Engineering Operations
alkhalil:alkhalil-analyzer,Others
alkhalil:alkhalil-db-long,Others
alkhalil:alkhalil-db-short,Others
amalloy:ring-gzip-middleware,Software Engineering Operations
amazon:MapReduce.Service.Client,Software Configuration Management
amazonica:amazonica,Software Engineering Operations
ameba:ameba,Others
amf:flex-messaging-core,Computing Foundations
amplab:spark-indexedrdd,Computing Foundations
analytics-android:amplitude,Software Quality
analytics-android:bugsnag,Software Quality
analytics-android:core,Software Quality
analytics-android:countly,Software Quality
analytics-android:flurry,Software Quality
analytics-android:google-analytics,Software Quality
analytics-android:localytics,Software Quality
analytics-android:mixpanel,Software Quality
analytics-android:quantcast,Software Quality
analytics-android:tapstream,Software Quality
android-async-http:android-async-http,Software Construction
android-backdoors-bdd-annotations:android-backdoor-bdd-annotations,Others
android-gif-drawable:android-gif-drawable-native-armeabi,Software Design
android.arch.lifecycle:common,Others
android.arch.lifecycle:common-java8,Others
android.arch.lifecycle:compiler,Software Construction
android.arch.lifecycle:extensions,Software Construction
android.arch.lifecycle:livedata,Others
android.arch.lifecycle:runtime,Software Construction
android.arch.lifecycle:viewmodel,Software Construction
android.arch.paging:runtime,Software Construction
android.arch.persistence.room:compiler,Software Quality
android.arch.persistence.room:runtime,Software Construction
android.arch.persistence:db,Computing Foundations
android.arch.persistence:db-framework,Computing Foundations
android.arch.work:work-runtime-ktx,Computing Foundations
android.commonsware:mergeadapter,Software Construction
android.commonsware:sacklist,Software Construction
android.compatibility:android-support-multidex,Software Construction
android.compatibility:android-support-v4,Software Construction
android.compatibility:android-support-v7-appcompat,Software Construction
android.compatibility:annotations,Software Construction
android.gcm:gcm-server,Software Construction
android.mail:activation,Software Construction
android.mail:additionnal,Software Construction
android.mail:mail,Software Construction
android.support:compatibility-v13,Others
android.support:compatibility-v4,Software Construction
android.support:compatibility-v7-appcompat,Software Construction
android:android,Software Construction
android:google-play-services,Software Construction
android:libcore,Software Construction
android:libtelemetry,Software Construction
android:mapbox-android-gestures,Software Construction
android:services-geojson,Software Construction
android:services-turf,Software Construction
androidsdk.modules:shield,Software Construction
androidx.activity:activity,Software Construction
androidx.activity:activity-compose,Software Construction
androidx.activity:activity-ktx,Software Engineering Economics
androidx.annotation:annotation,Software Construction
androidx.annotation:annotation-experimental,Software Construction
androidx.annotation:annotation-jvm,Computing Foundations
androidx.appcompat:appcompat,Software Construction
androidx.appcompat:appcompat-resources,Others
androidx.arch.core:core-common,Others
androidx.arch.core:core-runtime,Others
androidx.arch.core:core-testing,Software Construction
androidx.asynclayoutinflater:asynclayoutinflater,Others
androidx.autofill:autofill,Others
androidx.biometric:biometric,Others
androidx.biometric:biometric-ktx,Others
androidx.browser:browser,Software Construction
androidx.camera:camera-camera2,Software Construction
androidx.camera:camera-core,Software Construction
androidx.camera:camera-extensions,Software Construction
androidx.camera:camera-lifecycle,Software Construction
androidx.camera:camera-video,Software Construction
androidx.camera:camera-view,Software Construction
androidx.cardview:cardview,Others
androidx.collection:collection,Others
androidx.collection:collection-ktx,Others
androidx.compose.animation:animation,Others
androidx.compose.compiler:compiler,Others
androidx.compose.foundation:foundation,Software Construction
androidx.compose.foundation:foundation-layout,Software Construction
androidx.compose.material3:material3,Computing Foundations
androidx.compose.material3:material3-window-size-class,Computing Foundations
androidx.compose.material:material,Others
androidx.compose.material:material-icons-core,Software Engineering Economics
androidx.compose.material:material-icons-extended,Software Construction
androidx.compose.runtime:runtime,Others
androidx.compose.runtime:runtime-livedata,Software Engineering Economics
androidx.compose.runtime:runtime-rxjava2,Software Engineering Economics
androidx.compose.runtime:runtime-rxjava3,Others
androidx.compose.runtime:runtime-saveable,Software Construction
androidx.compose.runtime:runtime-saved-instance-state,Software Construction
androidx.compose.ui:ui,Software Construction
androidx.compose.ui:ui-graphics,Software Construction
androidx.compose.ui:ui-test-junit4,Software Construction
androidx.compose.ui:ui-tooling,Others
androidx.compose.ui:ui-tooling-preview,Software Engineering Economics
androidx.compose.ui:ui-viewbinding,Software Engineering Economics
androidx.compose:compose-bom,Software Engineering Economics
androidx.compose:compose-runtime,Software Construction
androidx.concurrent:concurrent-futures,Others
androidx.concurrent:concurrent-futures-ktx,Others
androidx.constraintlayout:constraintlayout,Software Construction
androidx.constraintlayout:constraintlayout-compose,Software Construction
androidx.constraintlayout:constraintlayout-core,Software Construction
androidx.contentpager:contentpager,Others
androidx.coordinatorlayout:coordinatorlayout,Software Construction
androidx.core:core,Software Construction
androidx.core:core-animation,Others
androidx.core:core-ktx,Software Construction
androidx.core:core-role,Others
androidx.cursoradapter:cursoradapter,Software Construction
androidx.customview:customview,Software Construction
androidx.databinding:databinding-adapters,Others
androidx.databinding:databinding-common,Others
androidx.databinding:databinding-ktx,Others
androidx.databinding:databinding-runtime,Others
androidx.databinding:viewbinding,Software Engineering Economics
androidx.datastore:datastore-preferences,Software Construction
androidx.documentfile:documentfile,Software Construction
androidx.drawerlayout:drawerlayout,Others
androidx.dynamicanimation:dynamicanimation,Others
androidx.dynamicanimation:dynamicanimation-ktx,Others
androidx.emoji2:emoji2,Others
androidx.emoji2:emoji2-views-helper,Software Construction
androidx.emoji:emoji-appcompat,Others
androidx.exifinterface:exifinterface,Computing Foundations
androidx.fragment:fragment,Software Construction
androidx.fragment:fragment-ktx,Software Engineering Economics
androidx.fragment:fragment-testing,Software Construction
androidx.gridlayout:gridlayout,Software Construction
androidx.hilt:hilt-navigation-compose,Software Configuration Management
androidx.interpolator:interpolator,Others
androidx.leanback:leanback,Software Engineering Management
androidx.legacy:legacy-preference-v14,Others
androidx.legacy:legacy-support-core-ui,Software Construction
androidx.legacy:legacy-support-core-utils,Software Construction
androidx.legacy:legacy-support-v4,Software Construction
androidx.lifecycle:lifecycle-common,Software Construction
androidx.lifecycle:lifecycle-common-java8,Software Construction
androidx.lifecycle:lifecycle-common-jvm,Others
androidx.lifecycle:lifecycle-extensions,Software Construction
androidx.lifecycle:lifecycle-livedata,Software Construction
androidx.lifecycle:lifecycle-livedata-core,Software Construction
androidx.lifecycle:lifecycle-livedata-core-ktx,Others
androidx.lifecycle:lifecycle-livedata-ktx,Software Engineering Economics
androidx.lifecycle:lifecycle-process,Others
androidx.lifecycle:lifecycle-reactivestreams,Others
androidx.lifecycle:lifecycle-reactivestreams-ktx,Others
androidx.lifecycle:lifecycle-runtime,Software Construction
androidx.lifecycle:lifecycle-runtime-compose,Computing Foundations
androidx.lifecycle:lifecycle-runtime-ktx,Software Construction
androidx.lifecycle:lifecycle-service,Software Construction
androidx.lifecycle:lifecycle-viewmodel,Software Construction
androidx.lifecycle:lifecycle-viewmodel-compose,Others
androidx.lifecycle:lifecycle-viewmodel-ktx,Software Construction
androidx.lifecycle:lifecycle-viewmodel-savedstate,Software Construction
androidx.loader:loader,Others
androidx.localbroadcastmanager:localbroadcastmanager,Software Construction
androidx.media3:media3-exoplayer,Computing Foundations
androidx.media3:media3-exoplayer-dash,Software Design
androidx.media3:media3-exoplayer-hls,Software Design
androidx.media3:media3-ui,Others
androidx.media:media,Computing Foundations
androidx.mediarouter:mediarouter,Software Construction
androidx.metrics:metrics-performance,Software Engineering Management
androidx.multidex:multidex,Software Construction
androidx.navigation:navigation-compose,Software Engineering Economics
androidx.navigation:navigation-fragment,Others
androidx.navigation:navigation-fragment-ktx,Others
androidx.navigation:navigation-runtime,Software Engineering Management
androidx.navigation:navigation-runtime-ktx,Others
androidx.navigation:navigation-ui,Others
androidx.navigation:navigation-ui-ktx,Others
androidx.paging:paging-common,Others
androidx.paging:paging-common-ktx,Others
androidx.paging:paging-compose,Others
androidx.paging:paging-runtime,Software Construction
androidx.paging:paging-runtime-ktx,Others
androidx.palette:palette,Others
androidx.palette:palette-ktx,Others
androidx.preference:preference,Software Construction
androidx.preference:preference-ktx,Others
androidx.print:print,Software Construction
androidx.profileinstaller:profileinstaller,Software Construction
androidx.recyclerview:recyclerview,Software Construction
androidx.recyclerview:recyclerview-selection,Others
androidx.remotecallback:remotecallback,Others
androidx.resourceinspection:resourceinspection-annotation,Software Construction
androidx.room:room-common,Others
androidx.room:room-compiler,Others
androidx.room:room-compiler-processing,Software Construction
androidx.room:room-ktx,Software Construction
androidx.room:room-migration,Others
androidx.room:room-runtime,Software Construction
androidx.room:room-rxjava3,Others
androidx.room:room-testing,Computing Foundations
androidx.savedstate:savedstate,Others
androidx.savedstate:savedstate-ktx,Others
androidx.security:security-crypto,Software Construction
androidx.sharetarget:sharetarget,Others
androidx.slidingpanelayout:slidingpanelayout,Others
androidx.sqlite:sqlite,Computing Foundations
androidx.sqlite:sqlite-framework,Computing Foundations
androidx.startup:startup-runtime,Software Construction
androidx.swiperefreshlayout:swiperefreshlayout,Software Construction
androidx.test.espresso:espresso-core,Others
androidx.test.espresso:espresso-idling-resource,Others
androidx.test.espresso:espresso-web,Others
androidx.test.ext:junit,Others
androidx.test.ext:junit-ktx,Software Construction
androidx.test.ext:truth,Software Quality
androidx.test.uiautomator:uiautomator,Software Construction
androidx.test:core,Software Construction
androidx.test:core-ktx,Software Design
androidx.test:monitor,Software Construction
androidx.test:rules,Software Construction
androidx.test:runner,Software Construction
androidx.tracing:tracing,Software Design
androidx.transition:transition,Others
androidx.transition:transition-ktx,Others
androidx.ui:ui-core,Software Construction
androidx.ui:ui-foundation,Software Construction
androidx.ui:ui-framework,Software Construction
androidx.ui:ui-layout,Software Construction
androidx.ui:ui-livedata,Software Construction
androidx.ui:ui-material,Software Construction
androidx.ui:ui-saved-instance-state,Software Construction
androidx.ui:ui-test,Software Construction
androidx.ui:ui-tooling,Software Construction
androidx.vectordrawable:vectordrawable,Others
androidx.vectordrawable:vectordrawable-animated,Others
androidx.versionedparcelable:versionedparcelable,Others
androidx.viewpager2:viewpager2,Software Construction
androidx.viewpager:viewpager,Others
androidx.wear.compose:compose-foundation,Software Design
androidx.wear:wear,Software Design
androidx.webkit:webkit,Others
androidx.window:window,Others
androidx.window:window-extensions,Others
androidx.window:window-java,Others
androidx.window:window-rxjava3,Others
androidx.work:work-multiprocess,Software Construction
androidx.work:work-runtime,Software Construction
androidx.work:work-runtime-ktx,Others
androidx.work:work-rxjava3,Others
ant-eclipse:ant-eclipse,Computing Foundations
ant-eclipse:ant-eclipse-jvm1.2,Others
ant:ant-contrib,Software Configuration Management
ant:ant.osgi,Computing Foundations
antlr:antlr.osgi,Computing Foundations
anttex:anttex,Software Construction
anyframe:anyframe.cache,Others
anyframe:anyframe.common,Others
anyframe:anyframe.core.cache,Others
anyframe:anyframe.core.idgen,Others
anyframe:anyframe.core.properties,Others
anyframe:anyframe.core.query,Others
anyframe:anyframe.idgen,Others
anyframe:anyframe.properties,Others
anyframe:anyframe.query,Others
anyframe:anyframe.web.common,Others
anyframe:anyframe.web.springmvc,Others
apache-avalon-logkit:logkit,Software Configuration Management
apache-avalon:avalon-framework,Software Configuration Management
apache-beanutils:commons-beanutils,Computing Foundations
apache-bsf:bsf,Software Configuration Management
apache-codec:commons-codec,Software Construction
apache-discovery:commons-discovery,Software Configuration Management
apache-httpclient:commons-httpclient,Software Configuration Management
apache-jaxme:jaxmexs,Software Configuration Management
apache-log4j:log4j,Software Security
apache-logging:commons-logging,Software Configuration Management
apache-logging:commons-logging-api,Software Security
