ArtifactID,DependencyID,TAG
.com.daikit:spring-boot-starter-data-graphql,com.daikit:spring-data-graphql-demo,['#Other']
.com.daikit:spring-boot-starter-data-graphql-jpa,com.daikit:spring-data-graphql-jpa-demo,['#Other']
.org.slf4j:slf4j-api,info.novatec.testit:livingdoc-confluence-plugin,"['#Test and Quality Management', '#Testing Utilities and Frameworks']"
.org.slf4j:slf4j-api,info.novatec.testit:livingdoc-confluence5-plugin,"['#Test and Quality Management', '#Testing Utilities and Frameworks']"
Aftermath:aftermath-annotations,org.michaelevans:aftermath,"['#Programming Language Utilities', '#Android']"
Aftermath:aftermath-annotations,org.michaelevans:aftermath-processor,"['#Programming Language Utilities', '#Android']"
Android-BLE-Library:ble,no.nordicsemi.android:ble-livedata,"['#Programming Language Utilities', '#Android']"
Android-Iconics:iconics,com.mikepenz:community-material-typeface,['#MULTI-PROJECT']
Android-Iconics:iconics,com.mikepenz:meteocons-typeface,['#MULTI-PROJECT']
Android-Iconics:iconics,com.mikepenz:octicons-typeface,['#MULTI-PROJECT']
Android-Iconics:iconics-core,com.mikepenz:community-material-typeface,['#MULTI-PROJECT']
Android-Iconics:iconics-core,com.mikepenz:fontawesome-typeface,['#MULTI-PROJECT']
Android-Iconics:iconics-core,com.mikepenz:google-material-typeface,['#MULTI-PROJECT']
Android-Iconics:iconics-core,com.mikepenz:iconics,['#MULTI-PROJECT']
Android-Iconics:iconics-core,com.mikepenz:meteocons-typeface,['#MULTI-PROJECT']
Android-Iconics:iconics-core,com.mikepenz:octicons-typeface,['#MULTI-PROJECT']
Android-Iconics:library,com.mikepenz:community-material-typeface,['#MULTI-PROJECT']
Android-Iconics:library-core,com.mikepenz:community-material-typeface,['#MULTI-PROJECT']
Android-Iconics:library-core,com.mikepenz:devicon-typeface,['#MULTI-PROJECT']
Android-Iconics:library-core,com.mikepenz:entypo-typeface,['#MULTI-PROJECT']
Android-Iconics:library-core,com.mikepenz:fontawesome-typeface,['#MULTI-PROJECT']
Android-Iconics:library-core,com.mikepenz:foundation-icons-typeface,['#MULTI-PROJECT']
Android-Iconics:library-core,com.mikepenz:google-material-typeface,['#MULTI-PROJECT']
Android-Iconics:library-core,com.mikepenz:ionicons-typeface,['#MULTI-PROJECT']
Android-Iconics:library-core,com.mikepenz:material-design-iconic-typeface,['#MULTI-PROJECT']
Android-Iconics:library-core,com.mikepenz:meteocons-typeface,['#MULTI-PROJECT']
Android-Iconics:library-core,com.mikepenz:octicons-typeface,['#MULTI-PROJECT']
Android-Iconics:library-core,com.mikepenz:pixeden-7-stroke-typeface,['#MULTI-PROJECT']
Android-Iconics:library-core,com.mikepenz:typeicons-typeface,['#MULTI-PROJECT']
Android-Iconics:library-core,com.mikepenz:weather-icons-typeface,['#MULTI-PROJECT']
Android-ParseModel:parsemodel,com.bartoszlipinski:parsemodel-compiler,['#Other']
Android-RTEditor:android-rteditor-core,com.1gravity:android-rteditor,['#Other']
Android-SDK-Core-Source:coresdk,com.estimote:sdk,['#Software Development Kit']
AndroidPerformanceMonitor:blockcanary-analyzer,com.github.moduth:blockcanary-android,"['#Programming Language Utilities', '#Android']"
