artifact,category
org.carrot2:rome-fetcher,Others
com.day.cq.wcm:cq-msm-api,Others
org.eclipse.nebula:widgets.opal.checkboxgroup,Others
org.fusesource.jansi:jansi-freebsd64,Others
rubygems:css_parser,Others
org.scanamo:scanamo-testkit_2.12,Others
com.xiaomi.infra:chronos-server,Others
com.twitter:finagle_2.9.1,Others
com.devskiller:jfairy,Others
org.apache.axiom:axiom-api,Others
io.ktor:ktor-client-core-iossimulatorarm64,Others
net.sf.okapi.filters:okapi-filter-wiki,Others
com.ing.data:cassandra-jdbc-wrapper,Others
com.optimizely.ab:android-sdk,Others
com.google.code.ksoap2-android:ksoap2-j2se,Others
io.github.jmcardon:tsec-http4s_2.12,Others
org.apache.niolex:commons-core,Others
rxHub.roxy:roxy-rxjava1,Others
com.github.mjeanroy:dbunit-dataset,Others
org.apache.geronimo.samples.daytrader.plugins:daytrader-derby-datasource,Others
com.weicoder.extend:excel-extend,Others
com.jcraft:jorbis,Others
org.jboss.seam:jboss-seam-debug,Others
com.android.support:gridlayout-v7,Others
com.sleepycat.je:com.springsource.com.sleepycat.je,Others
com.trolltech.qtjambi:qtjambi,Others
uk.co.rgordon:beancmpr-test,Others
org.amshove.kluent:kluent,Others
org.playframework:play-pekko-http-server_3,Others
com.gluonhq.attach:battery,Others
org.ruemmer.philipp:princess,Others
io.reflectoring.diffparser:diffparser,Others
com.alipay.sdk:alipay-sdk-java,Others
com.caoccao.javet:javet-core,Others
org.granite:granite-flex,Others
com.github.krasserm:akka-persistence-testkit_2.10,Others
org.jcp:jsr94,Others
lessvoid:nifty,Others
clj-http:clj-http,Others
io.quarkus.arc:arc-processor,Others
org.elasticsearch.client:test,Others
auto:common,Others
oracle.jdbc:ojdbc14,Others
com.github.vineey:rsql-querydsl-test,Others
com.kochava.tracker:tracker,Others
org.scorexfoundation:sdk_sjs1_2.13,Others
com.softwaremill.sttp.client3:circe_3,Others
com.softwaremill.sttp.client3:core_sjs1_3,Others
org.eclipse.equinox:util,Others
easymock:easymockcontainer,Others
com.github.kittinunf.result:result,Others
guru.nidi.com.eclipsesource.j2v8:j2v8_win32_x86_64,Others
com.unitedinternet.portal.selenium.utils:logging-selenium,Others
org.springframework.osgi:org.springframework.osgi.core,Others
eu.danieldk.dictomaton:dictomaton,Others
org.apache.commons:com.springsource.org.apache.commons.attributes,Others
